scenario;r;rr;value_min;Region_1_Coord;Region_2_Coord
6_AVG_SWE;R_RO;R_BG;-0.0529617;Point (24.96925875927502858 45.84361473342863746);Point (25.23150624402950726 42.76137671439207821)
6_AVG_SWE;R_RO;R_HU;-0.01249418;Point (24.96925875927502858 45.84361473342863746);Point (19.41344796118307769 47.16650222537332127)
6_AVG_SWE;R_RO;R_RS;-0.1012735;Point (24.96925875927502858 45.84361473342863746);Point (20.80527172323537499 44.03149841861639402)
6_AVG_SWE;R_RS;R_AL;0;Point (20.80527172323537499 44.03149841861639402);Point (20.06838460591877649 41.14228482341689386)
6_AVG_SWE;R_RS;R_BA;-9.87E-11;Point (20.80527172323537499 44.03149841861639402);Point (17.78653069680730781 44.1681152245203279)
6_AVG_SWE;R_RS;R_BG;-3.93E-04;Point (20.80527172323537499 44.03149841861639402);Point (25.23150624402950726 42.76137671439207821)
6_AVG_SWE;R_RS;R_HR;0;Point (20.80527172323537499 44.03149841861639402);Point (16.41177821249747026 45.05116186966237279)
6_AVG_SWE;R_RS;R_HU;0;Point (20.80527172323537499 44.03149841861639402);Point (19.41344796118307769 47.16650222537332127)
6_AVG_SWE;R_RS;R_ME;-0.003534439;Point (20.80527172323537499 44.03149841861639402);Point (19.25030495955028798 42.79159324834609635)
6_AVG_SWE;R_SE;R_DE;-0.86147;Point (16.73975403305356124 62.78989678415778997);Point (10.39366155475279996 51.10659218573432838)
6_AVG_SWE;R_SE;R_DK;-0.46711;Point (16.73975403305356124 62.78989678415778997);Point (10.0462984146926555 55.96339824225690762)
6_AVG_SWE;R_SE;R_FI;0;Point (16.73975403305356124 62.78989678415778997);Point (26.26637086488721096 64.50042200031850825)
6_AVG_SWE;R_SE;R_LT;0;Point (16.73975403305356124 62.78989678415778997);Point (23.89812325011706307 55.33567048559037005)
6_AVG_SWE;R_SE;R_LV;0;Point (16.73975403305356124 62.78989678415778997);Point (24.92942396864251009 56.85753443708565413)
6_AVG_SWE;R_SE;R_NO;0;Point (16.73975403305356124 62.78989678415778997);Point (6.098200857719917 60.76723986169972)
6_AVG_SWE;R_SE;R_PL;-0.47115;Point (16.73975403305356124 62.78989678415778997);Point (19.40088385467417353 52.1246100865655464)
6_AVG_SWE;R_SI;R_AT;0;Point (14.82653748920358083 46.12356376353400123);Point (14.14019348879524962 47.59290260691519592)
6_AVG_SWE;R_SI;R_HR;0;Point (14.82653748920358083 46.12356376353400123);Point (16.41177821249747026 45.05116186966237279)
6_AVG_SWE;R_SI;R_HU;0;Point (14.82653748920358083 46.12356376353400123);Point (19.41344796118307769 47.16650222537332127)
6_AVG_SWE;R_SI;R_IT;-0.21541;Point (14.82653748920358083 46.12356376353400123);Point (12.07174297035683175 42.79578239851078791)
6_AVG_SWE;R_SK;R_AT;0;Point (19.49165388227613604 48.70753128946242327);Point (14.14019348879524962 47.59290260691519592)
6_AVG_SWE;R_SK;R_CZ;0;Point (19.49165388227613604 48.70753128946242327);Point (15.3384120900681058 49.74285888947336787)
6_AVG_SWE;R_SK;R_HU;0;Point (19.49165388227613604 48.70753128946242327);Point (19.41344796118307769 47.16650222537332127)
6_AVG_SWE;R_SK;R_PL;0;Point (19.49165388227613604 48.70753128946242327);Point (19.40088385467417353 52.1246100865655464)
6_AVG_SWE;R_UK;R_BE;-0.23739;Point (-2.89558470050635464 54.15534972029963967);Point (4.66398918713680199 50.64285116363035399)
6_AVG_SWE;R_UK;R_DE;-0.273;Point (-2.89558470050635464 54.15534972029963967);Point (10.39366155475279996 51.10659218573432838)
6_AVG_SWE;R_UK;R_DK;0;Point (-2.89558470050635464 54.15534972029963967);Point (10.0462984146926555 55.96339824225690762)
6_AVG_SWE;R_UK;R_FR;0;Point (-2.89558470050635464 54.15534972029963967);Point (2.55195521677779524 46.56450205398793685)
6_AVG_SWE;R_UK;R_IE;0;Point (-2.89558470050635464 54.15534972029963967);Point (-8.15057896021401795 53.17638162826426651)
6_AVG_SWE;R_UK;R_NL;-0.25005;Point (-2.89558470050635464 54.15534972029963967);Point (5.60341802694661251 52.2492632896254392)
6_AVG_SWE;R_UK;R_NO;0;Point (-2.89558470050635464 54.15534972029963967);Point (6.098200857719917 60.76723986169972)
