WKT;WKT_old;Region_1;Region_2;Region_1_Coord;Region_2_Coord;NEW_LINES;LoadFlow;YYY;XCapacityMonth
MultiLineString ((22.41332785581158404 41.79841781733757955, 23.52736979575901799 42.24277809659356819));LINESTRING (25.23150624402950726 42.76137671439207821,21.69747626732899093 41.5996823122770536);R_BG;R_MK;Point (25.23150624402950726 42.76137671439207821);Point (21.69747626732899093 41.5996823122770536);MultiLineString ((22.41332785581158404 41.79841781733757955, 23.52736979575901799 42.24277809659356819));NTC;2040;400
MultiLineString ((11.19308176916777775 50.9963411545548766, 14.63088010516691995 49.83778262637398626));LINESTRING (15.3384120900681058 49.74285888947336787,10.39366155475279996 51.10659218573432838);R_CZ;R_DE;Point (15.3384120900681058 49.74285888947336787);Point (10.39366155475279996 51.10659218573432838);MultiLineString ((11.19308176916777775 50.9963411545548766, 14.63088010516691995 49.83778262637398626));NTC;2040;2600
MultiLineString ((18.3915370377099272 51.56502250361593553, 15.78800531518015049 49.78444664075005477));LINESTRING (15.3384120900681058 49.74285888947336787,19.40088385467417353 52.1246100865655464);R_CZ;R_PL;Point (15.3384120900681058 49.74285888947336787);Point (19.40088385467417353 52.1246100865655464);MultiLineString ((18.3915370377099272 51.56502250361593553, 15.78800531518015049 49.78444664075005477));NTC;2040;600
MultiLineString ((9.25334732113219438 55.58976636664731785, 9.55812583626960688 53.96023353387142407));LINESTRING (10.39366155475279996 51.10659218573432838,10.0462984146926555 55.96339824225690762);R_DE;R_DK;Point (10.39366155475279996 51.10659218573432838);Point (10.0462984146926555 55.96339824225690762);MultiLineString ((9.25334732113219438 55.58976636664731785, 9.55812583626960688 53.96023353387142407));NTC;2040;5500
MultiLineString ((8.33126316940289158 59.74703428963145058, 8.58051000593477475 53.03845602126986591));LINESTRING (10.39366155475279996 51.10659218573432838,14.08480083670671767 64.44817113990757207);R_DE;R_NO;Point (10.39366155475279996 51.10659218573432838);Point (14.08480083670671767 64.44817113990757207);MultiLineString ((8.33126316940289158 59.74703428963145058, 8.58051000593477475 53.03845602126986591));NTC;2040;1400
MultiLineString ((12.08933723317356268 51.73169621046497468, 17.68899673163046771 52.22804655308219424));LINESTRING (10.39366155475279996 51.10659218573432838,19.40088385467417353 52.1246100865655464);R_DE;R_PL;Point (10.39366155475279996 51.10659218573432838);Point (19.40088385467417353 52.1246100865655464);MultiLineString ((12.08933723317356268 51.73169621046497468, 17.68899673163046771 52.22804655308219424));NTC;2040;2000
MultiLineString ((10.0462984146926555 55.96339824225690762, 10.0462984146926555 55.96339824225690762));LINESTRING (10.0462984146926555 55.96339824225690762,10.0462984146926555 55.96339824225690762);R_DK;R_DK;Point (10.0462984146926555 55.96339824225690762);Point (10.0462984146926555 55.96339824225690762);MultiLineString ((10.0462984146926555 55.96339824225690762, 10.0462984146926555 55.96339824225690762));NTC;2040;3590
MultiLineString ((8.92015724949891364 59.79904566776788499, 9.6717720622530603 56.47578008330541621));LINESTRING (10.0462984146926555 55.96339824225690762,14.08480083670671767 64.44817113990757207);R_DK;R_NO;Point (10.0462984146926555 55.96339824225690762);Point (14.08480083670671767 64.44817113990757207);MultiLineString ((8.92015724949891364 59.79904566776788499, 9.6717720622530603 56.47578008330541621));NTC;2040;1632
MultiLineString ((8.99376900951092928 55.61019567478849979, 6.5374608070051563 52.91091987011495945));LINESTRING (10.0462984146926555 55.96339824225690762,5.60341802694661251 52.2492632896254392);R_DK;R_NL;Point (10.0462984146926555 55.96339824225690762);Point (5.60341802694661251 52.2492632896254392);MultiLineString ((8.99376900951092928 55.61019567478849979, 6.5374608070051563 52.91091987011495945));NTC;2040;700
MultiLineString ((24.36829537693008163 69.54026366438289131, 26.17372064880340332 67.41912488805211012));LINESTRING (26.26637086488721096 64.50042200031850825,14.08480083670671767 64.44817113990757207);R_FI;R_NO;Point (26.26637086488721096 64.50042200031850825);Point (14.08480083670671767 64.44817113990757207);MultiLineString ((24.36829537693008163 69.54026366438289131, 26.17372064880340332 67.41912488805211012));NTC;2040;0
MultiLineString ((18.16166171697069842 46.28817299483927172, 17.36613813508659732 45.61657260444351891));LINESTRING (16.41177821249747026 45.05116186966237279,19.41344796118307769 47.16650222537332127);R_HR;R_HU;Point (16.41177821249747026 45.05116186966237279);Point (19.41344796118307769 47.16650222537332127);MultiLineString ((18.16166171697069842 46.28817299483927172, 17.36613813508659732 45.61657260444351891));NTC;2040;800
MultiLineString ((15.10354509050715066 45.97672959774476453, 15.52713556917271021 45.3412962715195178));LINESTRING (16.41177821249747026 45.05116186966237279,14.82653748920358083 46.12356376353400123);R_HR;R_SI;Point (16.41177821249747026 45.05116186966237279);Point (14.82653748920358083 46.12356376353400123);MultiLineString ((15.10354509050715066 45.97672959774476453, 15.52713556917271021 45.3412962715195178));NTC;2040;2500
MultiLineString ((17.31448075963958289 46.7927239646157318, 15.62011884497734648 46.48415401605165442));LINESTRING (19.41344796118307769 47.16650222537332127,14.82653748920358083 46.12356376353400123);R_HU;R_SI;Point (19.41344796118307769 47.16650222537332127);Point (14.82653748920358083 46.12356376353400123);MultiLineString ((17.31448075963958289 46.7927239646157318, 15.62011884497734648 46.48415401605165442));NTC;2040;2200
MultiLineString ((19.65972560493426258 47.7113603678046303, 19.84569215654353513 48.52521093017097797));LINESTRING (19.41344796118307769 47.16650222537332127,19.49165388227613604 48.70753128946242327);R_HU;R_SK;Point (19.41344796118307769 47.16650222537332127);Point (19.49165388227613604 48.70753128946242327);MultiLineString ((19.65972560493426258 47.7113603678046303, 19.84569215654353513 48.52521093017097797));NTC;2040;2800
MultiLineString ((26.34935572532328152 56.58119372342460451, 25.00626396370077131 55.53718499653136575));LINESTRING (23.89812325011706307 55.33567048559037005,24.92942396864251009 56.85753443708565413);R_LT;R_LV;Point (23.89812325011706307 55.33567048559037005);Point (24.92942396864251009 56.85753443708565413);MultiLineString ((26.34935572532328152 56.58119372342460451, 25.00626396370077131 55.53718499653136575));NTC;2040;2450
MultiLineString ((19.52541642877201156 43.01329285985794826, 20.68254163878525276 43.38327763586849528));LINESTRING (19.25030495955028798 42.79159324834609635,20.80527172323537499 44.03149841861639402);R_ME;R_RS;Point (19.25030495955028798 42.79159324834609635);Point (20.80527172323537499 44.03149841861639402);MultiLineString ((19.52541642877201156 43.01329285985794826, 20.68254163878525276 43.38327763586849528));NTC;2040;540
MultiLineString ((21.50863607907574604 42.79385777554936965, 21.7689774118153494 41.88580294254953174));LINESTRING (21.69747626732899093 41.5996823122770536,20.80527172323537499 44.03149841861639402);R_MK;R_RS;Point (21.69747626732899093 41.5996823122770536);Point (20.80527172323537499 44.03149841861639402);MultiLineString ((21.50863607907574604 42.79385777554936965, 21.7689774118153494 41.88580294254953174));NTC;2040;460
MultiLineString ((7.60805991314462027 59.75223907450590133, 6.13453327851840235 53.17180934312863627));LINESTRING (5.60341802694661251 52.2492632896254392,14.08480083670671767 64.44817113990757207);R_NL;R_NO;Point (5.60341802694661251 52.2492632896254392);Point (14.08480083670671767 64.44817113990757207);MultiLineString ((7.60805991314462027 59.75223907450590133, 6.13453327851840235 53.17180934312863627));NTC;2040;700
MultiLineString ((13.55511526148275436 62.71070227945963182, 10.39755818728368553 62.62591042150123855));LINESTRING (14.08480083670671767 64.44817113990757207,16.73975403305356124 62.78989678415778997);R_NO;R_SE;Point (14.08480083670671767 64.44817113990757207);Point (16.73975403305356124 62.78989678415778997);MultiLineString ((13.55511526148275436 62.71070227945963182, 10.39755818728368553 62.62591042150123855));NTC;2040;3695
MultiLineString ((15.83707982185483054 57.04772013879650672, 18.61624662090447657 53.71638432461801216));LINESTRING (19.40088385467417353 52.1246100865655464,16.73975403305356124 62.78989678415778997);R_PL;R_SE;Point (19.40088385467417353 52.1246100865655464);Point (16.73975403305356124 62.78989678415778997);MultiLineString ((15.83707982185483054 57.04772013879650672, 18.61624662090447657 53.71638432461801216));NTC;2040;600
MultiLineString ((19.47375905332500068 50.58816476900444314, 19.3626956961138994 48.86872635472813897));LINESTRING (19.40088385467417353 52.1246100865655464,19.49165388227613604 48.70753128946242327);R_PL;R_SK;Point (19.40088385467417353 52.1246100865655464);Point (19.49165388227613604 48.70753128946242327);MultiLineString ((19.47375905332500068 50.58816476900444314, 19.3626956961138994 48.86872635472813897));NTC;2040;781
MultiLineString ((21.48323095821405104 43.92148979946495757, 23.97828219230508751 45.58314045644333135));LINESTRING (24.96925875927502858 45.84361473342863746,20.80527172323537499 44.03149841861639402);R_RO;R_RS;Point (24.96925875927502858 45.84361473342863746);Point (20.80527172323537499 44.03149841861639402);MultiLineString ((21.48323095821405104 43.92148979946495757, 23.97828219230508751 45.58314045644333135));NTC;2040;1984
MultiLineString ((13.87409955486808855 47.27769590531206489, 11.30156225760652511 45.71314266348026223));LINESTRING (12.07174297035683175 42.79578239851078791,14.14019348879524962 47.59290260691519592);R_IT;R_AT;Point (12.07174297035683175 42.79578239851078791);Point (14.14019348879524962 47.59290260691519592);MultiLineString ((13.87409955486808855 47.27769590531206489, 11.30156225760652511 45.71314266348026223));NTC;2040;2345
MultiLineString ((14.65154305534573353 46.07357292636064017, 14.46557650373646453 46.7644231763396192));LINESTRING (14.82653748920358083 46.12356376353400123,14.14019348879524962 47.59290260691519592);R_SI;R_AT;Point (14.82653748920358083 46.12356376353400123);Point (14.14019348879524962 47.59290260691519592);MultiLineString ((14.65154305534573353 46.07357292636064017, 14.46557650373646453 46.7644231763396192));NTC;2040;2950
